State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Nigeria;NGA;Africa;Developing;185990;707,4;288,9;69,8;219,1;48,2;81,6;3,5;25,8;38,4;9,9;29;0;225,6;33;96;21,4;5,8;1,8;43,3;0;2,3;40,1;5,5;17,8;9;16,2;11,6;0;32,7;17,7;18,2;8,1
Norway;NOR;Europe;Developed;5255;0,8;1,9;0;0,1;0,2;11,4;0,3;0,7;0,3;0,6;4,7;0;11,6;3,1;1,3;0,9;0,1;0,3;0,1;0;0;0,2;0;0,6;0;0,1;0;0;0,7;0,6;0;0
Oman;OMN;Asia;Developing;4425;0,3;0,5;0;0,3;0;1,3;0,1;0,9;0,2;0;0,5;0;4;0,2;0,2;0,3;0,1;0;0,3;0;0;1,2;0;0,1;0;0,1;0,1;0;0,1;0,2;0,2;0
Pakistan;PAK;Asia;Developing;193203;175;85;8,6;213,3;7,4;117,1;2,8;44,7;8,2;2,1;25,1;0;411,6;71,5;60,3;33,7;2,5;0,9;26,6;0;4,4;30;4,4;11,5;3,7;8,7;4;0;15,2;5,6;18,5;0,8
Panama;PAN;America;Developing;4034;1,4;0,9;0,1;0,5;0,2;3,5;0,2;1,4;0,3;0,1;0,6;0;5,5;1,3;0,9;0,8;0,1;0,1;0,4;0;0;0,5;0;0,2;0;0,1;0;0;0,1;0,2;0,8;0
Papua New Guinea;PNG;Oceania;Developing;8085;11,2;4;0,3;4,5;0,4;6,8;0,1;2,4;0,2;0;0,7;0;13,3;3,2;2,1;1,5;0,1;0;1;0;0;1,2;0,1;0,2;0,2;0,6;0,2;0;0,7;0,5;0,8;0
Paraguay;PRY;America;Developing;6725;1,8;1,5;0,3;1,2;0,3;5,8;0,2;2,4;0,2;0,2;1,9;0;10,5;1,2;1,7;1,9;0,1;0,2;0,7;0;0;1,8;0;0,3;0,1;0,3;0,1;0;0,5;0,6;0,6;0
Peru;PER;America;Developing;31774;6,7;22,7;0,5;3,3;1,9;28,5;0,4;6,1;0,6;1,1;9,1;0;35,8;9,7;14,4;10,2;0,4;0,3;2,7;0;0;4,2;0,3;1,6;0,5;1,2;1,1;0;4;1,6;3,7;0
Philippines;PHL;Asia;Developing;103320;55,7;76;2,9;24,7;7,5;65,9;3,1;25,5;6,3;2,6;5;0,1;233,2;42,2;22,4;26,5;1,9;1,7;9,2;0;0,5;10,6;0,3;3,4;0,9;5,6;0,8;0;5,1;3,3;15,3;4,3
Poland;POL;Europe;Developed;38224;2,1;16,5;0;0,7;0,2;106,9;5,8;8,7;0,5;4,2;6,1;0;182;17,9;16,5;3,6;0,3;0,7;0,9;0;0;3,4;0,1;4,8;0,5;0,8;0,3;0;2;6,2;0,4;0
Portugal;PRT;Europe;Developed;10372;2,3;8,2;0;0,1;0,3;28,2;0,6;4,7;1,7;0,4;8,9;0;31;7,2;5,1;3,3;0,1;0,5;0,2;0;0;0,8;0;0,8;0,1;0,1;0;0;1,1;1,5;0,1;0
Qatar;QAT;Asia;Developing;2570;0;0,1;0;0,1;0;0,6;0;0,4;0;0;0,2;0;1,1;0,1;0,2;0,1;0;0;0,1;0;0;0,3;0;0,1;0;0;0,1;0;0,1;0,2;0,2;0
Republic of Korea;KOR;Asia;Developing;50792;8,4;18,7;0,1;0,7;0,6;84,6;1,5;12;1,5;1,2;19,2;0;63,6;16,7;12,8;8,2;0,5;1,8;0,6;0;0,1;5,5;0,3;2,5;0,3;0,6;0,5;0;4,3;13,7;0,6;0
Republic of Moldova;MDA;Europe;Transition;4060;0,6;1,1;0;0,3;0;7,1;0,1;0,5;0;0,6;0,3;0;27,4;1;4,2;0,6;0;0;0,2;0;0;0,4;0;0,2;0,1;0,2;0;0;0,9;0,6;0,2;0
Romania;ROU;Europe;Developed;19778;3,2;6,9;0;0,5;0,2;52,3;0,3;2,7;0,2;1,4;3,8;0;145,3;9,3;14,8;6,6;0,1;0,1;0,5;0;0;1,8;0,1;1,5;0,4;0,6;0,2;0;2,2;2,1;0,3;0
Russian Federation;RUS;Europe;Transition;143965;51,7;32,1;0,4;4,7;0,6;359,1;0,3;9,8;1,6;44,8;62;0;1022,8;33,3;75,9;16,2;1,5;1,4;5,3;0;0,7;25;2,4;11,7;7,1;8,6;4,2;0;25,6;44,7;16,3;0,2
Rwanda;RWA;Africa;Developing;11918;14,4;5,6;0,8;5,3;1,9;8,5;0,2;1,4;0,4;0,2;1,4;0;9,1;1,7;3,3;0,7;0,3;0,1;1,6;0;0,1;4,1;0,3;0,8;0,5;0,6;0,3;0;1,1;0,8;0,7;0
Saint Lucia;LCA;America;Developing;178;0;0,1;0;0;0;0,3;0;0,1;0;0;0;0;0,4;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Vincent and the Grenadines;VCT;America;Developing;110;0;0;0;0;0;0,2;0;0,1;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Samoa;WSM;Oceania;Developing;195;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,3;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sao Tome and Principe;STP;Africa;Developing;200;0,2;0,1;0;0,1;0;0,1;0;0;0;0;0;0;0,2;0,1;0,1;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0
Saudi Arabia;SAU;Asia;Developing;32276;2,2;6,2;0,1;3,4;0,1;10,8;0,5;3,7;0,9;0,4;5,9;0;42,4;3;4,1;7,2;0,8;0,2;2,8;0;0,2;9,1;0,2;1,9;0,6;0,9;0,9;0;1,6;1;2;0,2
Senegal;SEN;Africa;Developing;15412;20,9;9;1,4;10;1,7;5,9;0,2;2,2;1;0,2;1,7;0;16,2;2,7;4,2;2,1;0,3;0,1;2,6;0;0,2;4,6;0,4;1;0,5;0,8;0,6;0;1,6;0,9;1,2;0
Serbia;SRB;Europe;Transition;8820;0,7;1,4;0;0,3;0,1;23,5;0,6;3,1;0,2;0,5;3,6;0;57,5;5,5;3,7;3;0,1;0,2;0,2;0;0;0,6;0;0,5;0,1;0,1;0,1;0;0,4;1,4;0,1;0
Seychelles;SYC;Africa;Developing;94;0;0,1;0;0;0;0,1;0;0;0;0;0;0;0,3;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;SLE;Africa;Developing;7396;29,2;9,3;2,7;8,3;2,3;2,5;0,1;1,4;2;0,3;0,9;0;12,7;1,9;4,1;1,6;0,2;0,1;1,8;0;0,1;2,2;0,3;0,6;0,4;0,8;0,5;0;1,4;0,7;1;0
Singapore;SGP;Asia;Developing;5622;0,3;6,1;0;0;0;8,4;0,1;0,4;0;0;0,2;0;8,2;0,9;0,7;1,6;0,2;0,1;0,1;0;0;0,2;0;0,2;0;0;0;0;0,1;0,6;0;0
Slovakia;SVK;Europe;Developed;5444;0,3;1,9;0;0,1;0;14,7;0,1;0,9;0,2;0,2;3;0;20,5;1,3;3,2;0,9;0,2;0,1;0,2;0;0;0,4;0;1,2;0;0,2;0,1;0;0,4;0,7;0,1;0
Slovenia;SVN;Europe;Developed;2078;0,2;0,8;0;0;0;6,3;0,1;0,3;0,1;0,2;0,4;0;8;0,7;1,1;0,4;0;0,1;0;0;0;0,1;0;0,5;0;0;0;0;0,2;0,4;0;0
Solomon Islands;SLB;Oceania;Developing;599;0,3;0,2;0;0,2;0;0,4;0;0,2;0;0;0,1;0;0,8;0,2;0,1;0,1;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0
Somalia;SOM;Africa;Developing;14318;52,4;24;4,3;20,3;6,1;6;0,4;1,9;1;0,2;1,4;0;16;2,3;5,3;1,3;0,3;0,1;3,6;0;0,3;4,1;0,7;1,1;1,3;1,5;0,7;0;2,5;0,7;0,8;6,5
South Africa;ZAF;Africa;Developing;56015;151,2;36,8;1,5;14,4;4,2;50,8;1,2;37,2;6,7;1,6;15,3;0;97,6;23,5;14,3;13,1;1,7;0,9;5;0;0,5;11,5;0,7;1,1;2,2;1,8;1,6;0;4,2;6,5;18,5;0
South Sudan;SSD;Africa;Developing;12231;44,5;12,7;3,3;13,4;3;8,3;0;1,6;0,6;0,1;1,2;0;12,2;1,8;3,8;0,9;0,3;0,1;2,1;0;0,1;3,8;0,5;0,8;0,7;0,8;0,5;0;1,4;0,5;0,6;1,7
Spain;ESP;Europe;Developed;46348;6,5;12,8;0;0,7;1,2;110;4,5;10,1;4,5;1,5;48,5;0;118,2;43,2;21,4;14;1,6;4,2;1;0;0;1,6;0,1;3;0,2;0,4;0,1;0;4,8;4;0,3;0
Sri Lanka;LKA;Asia;Developing;20798;4,4;4,9;0,1;1,2;0,2;20,4;0,1;12,4;0,6;0,5;9,1;0;48,6;11,8;6,9;6,7;0,1;0,1;1,2;0;0;3,6;0,1;2,5;0,5;1,5;0,4;0;1,7;3;0,6;0
Sudan;SDN;Africa;Developing;39579;40;19,1;3,6;35,4;1,3;17,7;1,3;5,8;2,1;0,6;6,4;0;80,3;8,7;8,3;7,8;0,3;0,3;7,1;0;0,3;9,8;1,6;2,6;2,1;3,4;2,3;0;3,9;3,2;2,4;4,1
Suriname;SUR;America;Developing;558;0,2;0,2;0;0,1;0;0,6;0;0,3;0;0;0,1;0;1,3;0,1;0,2;0,2;0;0;0;0;0;0,1;0;0;0;0;0;0;0,1;0,1;0,1;0
Swaziland;SWZ;Africa;Developing;1343;4,9;0,9;0,1;0,8;0,2;0,7;0;0,7;0,1;0;0,2;0;1,6;0,4;0,3;0,2;0;0;0,3;0;0;0,4;0;0;0,1;0,1;0,1;0;0,2;0,2;0,3;0
Sweden;SWE;Europe;Developed;9838;1,6;2,7;0;0,2;0,3;23,3;1;2,1;0,7;0,8;11,5;0;31,6;5,2;3,1;1,5;0,2;0,5;0,3;0;0;0,3;0;1,1;0,1;0,1;0,1;0;1,3;1,5;0,1;0
Switzerland;CHE;Europe;Developed;8402;0,7;1,9;0;0,2;0,2;18,2;0,6;1,4;0,5;0,6;9;0;21,3;3,6;2,7;1,5;0,1;0,7;0,3;0;0;0,3;0;1,9;0;0,1;0;0;0,4;1,4;0;0
Syrian Arab Republic;SYR;Asia;Developing;18430;2,6;2;0,3;2,6;0,1;14,2;0,6;1,3;0,5;0,2;4,2;0;37,9;2,7;2;2,7;0;0;1,5;0;0;3,5;0,1;0,3;0,1;0,1;0,1;0;0,6;0,4;0,5;69,3
Tajikistan;TJK;Asia;Developing;8735;2,9;3,2;0,1;4,3;0,2;4,6;0,3;0,8;0,1;0,2;1,3;0;19,2;1,8;1,8;0,7;0;0;1,1;0;0,1;1,5;0,1;0,3;0,3;0,5;0,1;0;0,4;0,2;0,1;0
Thailand;THA;Asia;Developing;68864;35,8;44,6;0,2;3,7;0,8;94,8;2,5;23,9;2,2;3,2;43,9;0;124,7;30,7;28,7;35,9;3,9;1,6;2,9;0;0,1;22,5;0,3;4,7;0,9;5,7;0,9;0;6,3;9,9;3,5;0,1
The former Yugoslav Republic of Macedonia;MKD;Europe;Transition;2081;0,1;0,1;0;0,2;0;4;0;0,9;0;0;0,2;0;12,2;0,9;0,4;0,4;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,1;0,2;0;0
Timor-Leste;TLS;Asia;Developing;1269;1,7;0,6;0,1;0,8;0;0,8;0;0,1;0;0;0,2;0;1,3;0,3;0,2;0,1;0;0;0,2;0;0;0,3;0;0;0;0,1;0;0;0,1;0,1;0,1;0
Togo;TGO;Africa;Developing;7606;18,4;6,8;0,9;6;1,3;3,3;0,1;1;1;0,2;0,9;0;10,5;1,7;2,9;1;0,1;0,1;1,5;0;0,1;2,5;0,2;0,6;0,3;0,5;0,3;0;1;0,7;0,7;0
Tonga;TON;Oceania;Developing;107;0;0;0;0;0;0,1;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trinidad and Tobago;TTO;America;Developing;1365;0,5;0,3;0;0,2;0,1;1,9;0,1;1,9;0,2;0;0,3;0;3,9;0,4;0,4;0,3;0,1;0,1;0,1;0;0;0,2;0;0;0;0,1;0;0;0,1;0,2;0,6;0
Tunisia;TUN;Africa;Developing;11403;1,2;2,9;0,1;1,4;0;8,3;0,5;3,5;0,5;0,1;6,2;0;32;3,1;2,5;3,9;0,3;0,1;0,9;0;0;2,6;0,1;0,5;0,2;0,2;0,1;0;0,4;0,4;0,2;0,1
Turkey;TUR;Asia;Developing;79512;4,3;7,9;0,2;6,7;0,8;102,6;0;21,8;4,5;1,1;50,4;0;156,6;30,3;12,3;18,8;0,7;1,4;6,7;0;0,1;6,5;0,2;5,2;0,7;1,2;2,7;0;3;5,8;2,1;0,6
Turkmenistan;TKM;Asia;Developing;5663;2,3;1,6;0;2,8;0;4,5;0,1;0,7;0,2;0,2;0,9;0;18,4;0,5;2,6;1,1;0;0;0,9;0;0,1;1;0;0,1;0,2;0,2;0,1;0;0,4;0,4;0,2;0
Uganda;UGA;Africa;Developing;41488;89,2;28,3;5,4;32,3;6,3;25,6;0,7;4,6;2,2;0,6;4,1;0;29,6;5,4;12,2;3;1,1;0,3;7,6;0;0,5;11,7;1,3;2,8;2,2;3,2;1,4;0;5,1;4,1;5,2;0,5
Ukraine;UKR;Europe;Transition;44439;18,6;5,3;0,1;1,7;0,1;97,1;0;2,5;0,5;11,2;23,2;0;402,4;13,1;22,5;3,5;0,1;0,3;1,7;0;0,1;4,4;1,1;3,5;1,8;2,8;0,9;0;4,6;10;2;0,4
United Arab Emirates;ARE;Asia;Developing;9270;0,3;0,4;0;0,3;0;1,8;0;0,7;0,1;0,1;0,5;0;6;0,8;0,4;0,7;0;0;0,3;0;0;0,9;0;0,3;0,1;0,1;0,2;0;0,4;0,3;0,4;0
United Kingdom;GBR;Europe;Developed;65789;6,6;37,5;0,1;1,6;0,4;168,2;4;6,6;3,1;3,7;98,6;0;150,4;50;28,6;10,6;2;4,6;2,3;0,1;0,1;1,8;0,2;6,3;0,3;0,3;0,4;0;5;5,8;0,9;0
United Republic of Tanzania;TZA;Africa;Developing;55572;128,6;37,1;10;40,9;11,6;27,2;0,8;6,4;2,7;0,8;6,5;0;51,6;7;14,7;4;1,7;0,3;10,3;0;0,7;19,1;1,5;4,1;2,8;3,1;1,6;0;6,4;3;4,3;0
United States of America;USA;America;Developed;322180;56,3;66,4;0,6;11,7;9,6;627,7;16,5;84,3;45,4;48,1;329;0,1;837,2;246,9;118,2;86;5,2;14,6;12,9;0,3;1,4;38,2;2,9;36,2;3,2;4,6;3,8;0,1;23,7;49,4;21,1;0,6
Uruguay;URY;America;Developing;3444;0,8;1,4;0;0,2;0,2;8,6;0,3;0,9;0,4;0,1;2;0;9,2;2,7;1,5;1,2;0,2;0,3;0,2;0;0;0,5;0;0;0;0,1;0,1;0;0,8;0,6;0,3;0
Uzbekistan;UZB;Asia;Developing;31447;5,1;5;0,2;7,2;0,2;13,8;0,4;5,7;0,2;0,6;2,4;0;98,9;3,6;9,5;5,3;0;0,2;2,8;0;0,1;2,9;0,3;0,4;0,5;1;0,3;0;2;2,3;0,6;0
Vanuatu;VUT;Oceania;Developing;270;0,1;0,1;0;0,1;0;0,2;0;0,1;0;0;0;0;0,4;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela (Bolivarian Republic of);VEN;America;Developing;31568;7,6;6,7;0,6;4,7;0,7;28,6;2,8;14,9;0,9;0,3;2,4;0;54,2;7,2;7,3;4;0;0,6;2,5;0;0;12,8;0,1;1,2;0,2;0,9;0,3;0;2,5;1,2;15,5;0
Viet Nam;VNM;Asia;Developing;94569;32;16,6;0,9;13,1;0,2;102,3;1;20,8;2,3;1,9;36,1;0;172,3;30,6;28,1;17,8;1,4;0,4;8,9;0;0,3;22,7;0,9;13,1;0,4;6,8;1,2;0;6,3;6,9;3,6;0,1
Yemen;YEM;Asia;Developing;27584;14,6;12,3;3,2;19,5;0,4;10,5;0,7;3,9;1,2;0,3;4,4;0;56,8;6,4;4,6;4,8;0,2;0,2;4,1;0;0,6;7;1;1,6;1,3;1,9;1,4;0;2,3;2,3;1,7;5
Zambia;ZMB;Africa;Developing;16591;46,4;10,6;1,6;12,9;4,1;8;0,3;1,5;0,8;0,2;1,5;0;12,5;1,9;4,9;1,2;0,5;0,1;2,8;0;0,2;4,2;0,5;1,2;0,8;1;0,6;0;1,9;1;1,7;0
Zimbabwe;ZWE;Africa;Developing;16150;41,7;11,3;2,8;10,8;4,3;8,9;0,1;3,6;0,8;0,5;2,4;0;14,2;3;3,9;2,1;0,3;0,1;3,1;0;0;7,7;0,4;0,5;0,7;0,5;0,5;0;1,6;1,7;2,4;0
