State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Dominican Republic;DOM;America;Developing;10649;4,1;2,4;0,1;3,5;0,2;10,5;0,3;2,5;0,4;0,3;2,4;0;22,9;1,7;2,8;2,3;0,1;0,1;1,2;0;0;2,8;0;0,2;0,1;0,3;0,3;0;1,2;1,1;1,8;0
Ecuador;ECU;America;Developing;16385;3,1;5,4;0,2;2,8;1,1;14;0,9;6,5;0,9;0,7;1,7;0;19,8;4,4;5,9;3,3;0,2;0,6;1,9;0;0;3,9;0,1;0,6;0,1;0,5;0,2;0,3;2,2;1,2;1,5;0
Egypt;EGY;Africa;Developing;95689;11,8;22,1;0,9;25,7;1,3;77,7;3,6;17,9;4,9;0,5;21,1;0;245,9;25,9;79,8;18,8;0,1;0,2;14,4;0;0,6;13,5;0,2;4,2;2;1,8;1;0;3,7;3,8;4,6;0,3
El Salvador;SLV;America;Developing;6345;1,4;2,2;0;0,7;0,3;6,6;0;2,3;0,1;1,1;2,3;0;9,8;1,2;2,5;4,4;0,1;0,1;0,5;0;0;1,1;0;0,5;0,1;0,4;0;0;0,5;0,9;2,9;0
Equatorial Guinea;GNQ;Africa;Developing;1221;3,4;1,2;0,1;1,1;0,3;0,5;0;0,3;0,1;0,1;0,3;0;1,5;0,2;0,7;0,2;0,1;0;0,3;0;0;0,3;0;0,1;0,1;0,2;0,1;0;0,2;0,2;0;0
Eritrea;ERI;Africa;Developing;4955;6,8;3,6;0,6;2,4;1,3;2,7;0,1;0,9;0,2;0,1;0,6;0;6,6;1;2;0,4;0,1;0;0,6;0;0,1;1,3;0,2;0,4;0,3;0,3;0,2;0;0,6;0,4;0,4;0
Estonia;EST;Europe;Developed;1312;0,1;0,3;0;0;0;4;0,1;0,2;0;0,3;0,3;0;7,8;0,3;0,6;0,4;0;0;0;0;0;0,1;0;0,1;0,1;0,1;0;0;0,1;0,2;0;0
Ethiopia;ETH;Africa;Developing;102403;168,7;66,7;13,1;75,5;19,3;50,9;2,5;13;4,1;1,9;12,7;0;109,5;15,5;36,9;9,3;2,5;0,6;14,4;0;1,1;29,4;2,9;8,5;4,4;6,5;3,3;0;11,4;7,3;8;0,1
Fiji;FJI;Oceania;Developing;899;0,3;0,2;0;0,1;0;0,6;0;1,4;0,1;0;0,1;0;2,2;0,3;0,1;0,3;0;0,1;0,1;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0
Finland;FIN;Europe;Developed;5503;0,3;0,3;0;0,1;0;12,4;0,3;0,5;0,2;1;11,1;0;19,1;1,7;2,4;0,5;0;0,2;0,2;0;0;0,2;0;1,2;0,1;0,1;0;0;0,3;0,9;0,1;0
France;FRA;Europe;Developed;64721;10;17,9;0,1;1,5;4,2;173,4;7,6;12,4;7;6;64,4;0,1;143,4;31,1;24,9;10,6;1,3;4,3;1,9;0,1;0,1;2,8;0,3;6,5;0,4;0,8;0,2;0;12,2;11,5;0,6;0,1
Gabon;GAB;Africa;Developing;1980;4,8;1,1;0,1;1,1;0,3;0,8;0;0,4;0,1;0;0,5;0;2,5;0,3;0,9;0,2;0,1;0;0,3;0;0;0,4;0;0,2;0,1;0,2;0,1;0;0,2;0,1;0,2;0
Gambia;GMB;Africa;Developing;2039;4;1,6;0,5;2;0,5;0,6;0;0,2;0,2;0;0,2;0;2,3;0,4;0,6;0,3;0;0;0,5;0;0;0,7;0;0,2;0,1;0,1;0,1;0;0,3;0,1;0,2;0
Georgia;GEO;Asia;Developing;3925;0,7;0,6;0;0,3;0;7;0,1;1,3;0,1;0,1;2,6;0;36,3;2,2;2,1;0,9;0;0;0,2;0;0;0,5;0;0,2;0,2;0,1;0,1;0;0,3;0,3;0,2;0
Germany;DEU;Europe;Developed;81915;18,3;23,3;0,1;1,3;1,3;235,4;8;24,8;10;8,2;72,6;0;343,5;58,8;40,6;29,9;1,6;3,9;2,1;0,1;0,1;3,3;0,1;13,5;0,4;0,5;0,3;0;6,9;11,1;0,6;0
Ghana;GHA;Africa;Developing;28207;55,8;22,2;2,5;20,5;4;11,9;0,4;5,7;3,3;0,9;3,7;0;42,2;4,9;11,2;4,1;0,9;0,2;5;0;0,1;7,5;0,5;2,7;1;1,2;0,9;0;3,7;1,5;2,7;0
Greece;GRC;Europe;Developed;11184;4,7;8,3;0;0,2;0,1;31,4;0,4;1,8;0,6;0,3;4,6;0;46,1;10,5;3,8;4,4;0,1;0,3;0,2;0;0;0,9;0;0,5;0,1;0,4;0,1;0;0,8;0,6;0,1;0
