id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6858721,"",17246286,Roselien,,Brugse Poort - Rooigem,51.06221,3.70209,Private room,30,3,0,,,1,0
6876982,Bright apartment with terrace !,13913487,Marie-Charlotte,,Binnenstad,51.04245,3.73373,Entire home/apt,75,2,185,2019-04-01,3.99,2,326
6883371,Bed and Breakfast Mentari - Melati,35857974,Pieter En Kartini,,Wondelgem,51.08343,3.69947,Private room,80,2,2,2016-04-01,0.04,2,173
6913951,Cozy room in the centre of Ghent,8170359,Adam,,Binnenstad,51.05793,3.72138,Private room,30,7,0,,,2,0
6918127,Townhouse in centre of Ghent,35727880,Hilde,,Stationsbuurt Zuid,51.03163,3.71328,Entire home/apt,90,4,3,2016-07-26,0.07,1,0
6918908,Private and peaceful studio,10349286,Emilia,,Zwijnaarde,50.99913,3.71605,Entire home/apt,30,1,16,2019-01-05,0.35,1,280
6951050,Bright & Cosy City Centre apartment Ghent,15300260,"Aron, Dave & Myriam",,Rabot  - Blaisantvest,51.06226,3.71468,Entire home/apt,75,30,89,2019-03-30,2.06,3,277
7118449,Cosy studio,37291747,Anniek,,Binnenstad,51.04992,3.72116,Entire home/apt,45,1,4,2015-07-25,0.09,1,0
7126108,Sunny Loft Studio,21078003,Dario,,Binnenstad,51.05801,3.72391,Entire home/apt,57,2,104,2019-02-10,2.44,1,0
7126446,Bright apartment near the river,37181758,Lloyd,,Oud Gentbrugge,51.04457,3.75471,Private room,45,1,5,2015-09-13,0.11,1,0
7139462,Quiet room in old spacious house,7082619,Stijn,,Sint Amandsberg,51.06211,3.75727,Private room,34,2,8,2016-01-03,0.17,1,0
7171934,selma's 1 st floor masterroom cl to center,33366946,Edelyn And Stefaan,,Brugse Poort - Rooigem,51.05644,3.70033,Private room,27,3,55,2019-03-24,1.22,4,10
7234838,Ultra central bright and large flat,37054391,Antonin,,Binnenstad,51.05622,3.72427,Entire home/apt,110,2,1,2015-07-20,0.02,1,0
7234945,Cosy room in Gent,37808391,Anneleen,,Brugse Poort - Rooigem,51.05523,3.6961,Private room,25,1,2,2015-08-17,0.04,1,0
7276465,Lovely stay in FABULOUS Ghent!!,11579136,Joris,,Ledeberg,51.03701,3.74152,Private room,78,1,38,2017-06-04,0.84,1,0
7306127,Gezellig citéhuisje vlakbij historisch centrum,10647988,Steven,,Rabot  - Blaisantvest,51.06372,3.70988,Private room,45,1,23,2018-07-15,1.07,1,43
7324513,2 privé kamers beschikbaar,38369406,Eloïse,,Binnenstad,51.05151,3.73128,Private room,60,1,0,,,1,0
7343944,"Private room, central location",30887625,Ihsan,,Sluizeken - Tolhuis - Ham,51.05851,3.73582,Private room,50,1,15,2015-12-12,0.33,1,0
