id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18781167,Cosy and bright studio ideal for one guest/couple,2945662,Jo,,Molenbeek-Saint-Jean,50.86135,4.33947,Entire home/apt,36,2,167,2019-04-12,7.39,3,224
18783640,Appartement quartier Châtelain/Molière/Brugmann,8352106,Frederic & Virginie,,Forest,50.81613,4.35009,Entire home/apt,100,3,6,2018-06-16,0.29,1,0
18790120,Charmante maison Montgomery,48737855,Christopher,,Woluwe-Saint-Lambert,50.84433,4.40984,Entire home/apt,95,5,8,2018-08-12,0.38,1,198
18792208,Sunny and cosy apartment near railway station,105250039,Mir,,Anderlecht,50.83856,4.33206,Shared room,80,1,0,,,1,89
18792472,Cozy small bedroom in big apartment,21527720,Stefano,,Ixelles,50.82616,4.38172,Private room,20,5,11,2019-02-23,0.51,3,288
18792891,Cosy au cœur du châtelain!,1836716,Joséphine,,Ixelles,50.82149,4.35689,Entire home/apt,60,2,12,2019-02-17,0.69,1,62
18807623,"Heart of Brussels-90 sqm+terrace, Central Station",2333927,Julia,,Bruxelles,50.84826,4.36257,Entire home/apt,110,1,121,2019-04-11,5.37,1,328
18810289,"jolie appartement convivial,agreable et luminieux",130957909,Kemuel,,Forest,50.81912,4.34425,Entire home/apt,70,1,1,2017-06-03,0.04,1,0
18811161,Beautiful apartment in the heart of Brussels,13844983,Sevak,,Ixelles,50.83409,4.35936,Entire home/apt,85,1,141,2019-04-08,6.36,1,85
18813705,Double room with a view,96773912,Vince,,Woluwe-Saint-Lambert,50.84257,4.40806,Private room,55,2,2,2017-09-17,0.09,1,0
18818302,"Quartier Louise: Espace, Sommeil au calme, Chat !!",213919,Mathilde,,Saint-Gilles,50.83266,4.35468,Entire home/apt,53,2,26,2019-02-24,1.16,1,0
18822362,Room close to the European neighbourhood,131055760,Delia,,Etterbeek,50.83906,4.4006,Entire home/apt,15,30,0,,,1,0
18825838,Bright appartement EU district,31773719,Simon,,Schaerbeek,50.84552,4.39544,Entire home/apt,35,3,20,2018-08-11,0.92,1,0
18833676,"Avenue Molière, le charme d'un hotel de maître.",54385308,Constance,,Ixelles,50.81508,4.35544,Entire home/apt,110,2,29,2019-04-07,1.55,1,51
18833797,Rez de chaussée avec jardin et terrasse,131156698,Anna,,Saint-Gilles,50.82909,4.35213,Entire home/apt,48,5,14,2018-11-05,0.66,1,167
18833799,Room in lovely apartment in Saint-Gilles,49486462,Kirsten,,Saint-Gilles,50.83124,4.3549,Private room,43,3,7,2019-02-18,0.30,2,0
18846451,Modern 1BR apartment in the heart of EU Quarters,2554798,Themistoklis,,Bruxelles,50.84179,4.37933,Entire home/apt,79,5,2,2019-01-01,0.12,1,0
18859774,Center (jeu de balle) apartment,1779825,Mathieu,,Bruxelles,50.83848,4.34567,Entire home/apt,70,4,30,2018-10-25,1.35,1,0
18880308,♪ Y'a du Soleil et des nanas  ♫ Petite chambre,1263775,Nolwenn,,Schaerbeek,50.84782,4.39865,Private room,15,1,17,2018-01-29,0.74,1,0
18883739,GP5 Grand-Place 5,79226751,Christian,,Bruxelles,50.84619,4.35264,Entire home/apt,127,1,15,2018-08-03,0.69,20,322
18883740,GP7 Grand-Place 7,79226751,Christian,,Bruxelles,50.84656,4.35115,Entire home/apt,123,1,11,2018-09-10,0.61,20,315
18886758,Cosy room in Saint-Gilles/Barrière,74098800,Julie,,Saint-Gilles,50.82614,4.34158,Private room,18,2,2,2017-09-28,0.11,1,0
18901496,Cozy and private apartment FLOOR 4 NO LIFT,48841438,Joshua,,Ixelles,50.83493,4.37108,Entire home/apt,32,2,137,2019-04-05,6.04,3,279
18901832,cosy flat 15 min to brussel's center,6009009,Docteur,,Saint-Josse-ten-Noode,50.85487,4.37147,Entire home/apt,47,3,5,2018-08-18,0.23,1,53
18902702,"EU appart. in Ixelles, 1-4p,   GF0",23082521,Serenia,,Ixelles,50.83521,4.37024,Entire home/apt,50,90,1,2017-08-30,0.05,81,316
18909096,"Trendy, central duplex, Flagey, Cambre, university",36525485,Łukasz & Gosia,,Ixelles,50.82124,4.38271,Entire home/apt,84,3,46,2019-02-04,2.24,2,13
18913861,Generous apartment in wider centre of Bruxelles,30212810,Dušan,,Bruxelles,50.84681,4.37223,Entire home/apt,65,3,32,2019-03-21,1.42,1,18
18920650,studio in an ancient house,37043509,Lina,,Saint-Josse-ten-Noode,50.85656,4.36869,Entire home/apt,62,2,17,2019-01-30,0.75,4,295
18924509,Room near the center with bathroom and kitchen,75651609,Dejan,,Molenbeek-Saint-Jean,50.84639,4.32583,Private room,40,1,239,2019-04-03,10.45,1,243
18924827,A friendly shared house (1),8585169,Christophe,,Schaerbeek,50.8559,4.37595,Private room,38,2,14,2019-02-14,0.62,5,213
18929866,The South Fair in front of the Window ! ...,129296857,Rudy,,Anderlecht,50.84155,4.33813,Private room,25,2,44,2018-08-20,1.98,2,8
18938638,Luxurious Apartment in EU District,32891166,Pascale,,Bruxelles,50.84468,4.3947,Entire home/apt,95,2,11,2019-03-29,0.50,3,349
18939041,Smartflats Toison d'Or 201 - 2 Bed - City center,2792958,Alex,,Ixelles,50.83804,4.36353,Private room,89,1,18,2019-03-20,1.38,69,272
18939069,Appartement luxueux 3 dans le quartier de l'UE,32891166,Pascale,,Bruxelles,50.84473,4.39434,Entire home/apt,87,2,19,2019-03-10,0.90,3,162
18939179,Apartment with a view in EU District,32891166,Pascale,,Bruxelles,50.84545,4.39403,Entire home/apt,95,2,16,2019-01-02,0.70,3,165
18940905,Chambre a louer ixelles,41645107,Valentine,,Ixelles,50.83648,4.3646,Private room,25,2,7,2019-03-24,0.31,1,133
18951988,Beautiful apartment ideally located in Brussels,9272580,Victoria,,Schaerbeek,50.85139,4.39864,Entire home/apt,68,2,0,,,1,0
18956485,Lovely private room with breakfast,17920728,Kévin,,Bruxelles,50.86458,4.3525,Private room,46,2,68,2019-03-31,3.03,1,21
18957517,Nice Duplex near Grand Place,42832143,Antoine,,Bruxelles,50.84534,4.35328,Entire home/apt,89,2,130,2019-04-04,6.71,20,198
18974560,Studio Grand-Place,51340785,Grégory,,Bruxelles,50.84755,4.35121,Entire home/apt,80,2,31,2019-03-07,1.43,6,193
18974899,Appartement Grand-Place + terrasse,51340785,Grégory,,Bruxelles,50.84707,4.3515,Entire home/apt,95,2,30,2019-02-28,1.48,6,176
18980723,bed room and private bath room - woluwé st Lambert,131869636,Anouk,,Woluwe-Saint-Lambert,50.85384,4.4325,Private room,25,1,15,2019-02-06,0.66,2,28
18981232,Penhouse Suite in the Heart of Brussels,112827739,Warwick,,Bruxelles,50.84435,4.3538,Private room,7000,1,0,,,1,0
18981793,Smartflats Toison d'Or 301 - 3Bed Duplex - Center,2792958,Alex,,Ixelles,50.83737,4.36131,Private room,104,1,25,2019-03-26,1.33,69,260
18982489,Appartement lumineux et design sur jolie Avenue,43520397,Seden,,Schaerbeek,50.86346,4.377,Entire home/apt,80,2,1,2017-06-23,0.05,1,0
18983998,Studio quartier européen,42779129,Sandrine,,Etterbeek,50.83143,4.40099,Entire home/apt,58,2,48,2019-03-28,2.21,1,261
18985630,Vaste appartement lumineux à quelques minutes du centre de Bruxelles,32054677,Dirk,,Schaerbeek,50.86656,4.37558,Entire home/apt,118,3,69,2019-03-24,3.17,1,39
18996923,Modern bedroom Chatelain Ixelles,22197330,Julie,,Ixelles,50.82312,4.35741,Private room,45,2,9,2018-01-01,0.48,1,0
19001527,European District – Fully Furnished Studio,2924800,Gilbert,,Saint-Josse-ten-Noode,50.84824,4.37488,Entire home/apt,55,7,1,2017-09-20,0.05,2,0
19004747,Elegant loft style house in the heart of Brussels,10918640,Ann-Charlotte,,Etterbeek,50.83111,4.38201,Entire home/apt,88,2,108,2019-04-11,4.85,1,95
19010955,Bright and big room in the heart of Saint Gilles,27690681,Fernando,,Saint-Gilles,50.8254,4.35021,Private room,30,2,2,2017-06-04,0.09,1,0
19011334,Grand studio centre historique de Bruxelles,95116014,Valérie,,Bruxelles,50.84538,4.3531,Entire home/apt,75,2,103,2019-04-11,4.75,4,254
19014743,Apartment in the historical centre,13563520,Sophie,,Bruxelles,50.85471,4.3481,Entire home/apt,100,1,126,2019-04-09,5.55,1,65
19023076,"Bright room, with private bathroom and terrace",1291492,Sabine,,Schaerbeek,50.85869,4.39199,Private room,25,90,0,,,7,72
19027459,Quartier Université,43283070,Samo,,Ixelles,50.82021,4.38767,Private room,70,3,2,2017-12-19,0.10,1,74
19032560,Très agréable appartement Dansaert 1er étage,132617181,Uhm-Hee,,Bruxelles,50.85027,4.34463,Entire home/apt,84,3,83,2019-03-26,3.82,1,55
19036165,Grand Place Brussels Flats 1,941268,John & Ceca,,Bruxelles,50.84733,4.34969,Entire home/apt,62,1,176,2019-04-07,8.12,17,291
19037037,Lovely apartment in Saint-Gilles,49486462,Kirsten,,Saint-Gilles,50.83191,4.35521,Entire home/apt,40,4,17,2019-01-13,0.81,2,2
19044444,Lumière et bonheur,13483082,Basma,,Uccle,50.76903,4.38245,Entire home/apt,50,1,16,2019-01-02,0.72,1,286
19053825,Garden house walking distance EU institutions,1184463,Ulrike,,Ixelles,50.83466,4.37294,Entire home/apt,55,2,42,2019-04-08,1.88,1,140
19057437,"500m from the Gare du Midi, 70m ². FREE WIFI !!!",43773586,Daniel,,Saint-Gilles,50.83258,4.3347,Entire home/apt,40,2,104,2019-03-25,5.35,6,84
19059726,Studio quartier palais de justice,132824865,Rose,,Bruxelles,50.83482,4.34974,Private room,35,1,2,2019-03-24,0.09,2,0
19060640,"Apartment near Gare du Nord/ Noordstation, Brussel",69369452,Pichumani,,Bruxelles,50.86341,4.35373,Entire home/apt,110,1,0,,,1,0
19061867,Charming apartment in trendy area of Brussels,133066720,Victoria,,Uccle,50.81302,4.36202,Entire home/apt,65,3,8,2018-12-10,0.36,1,0
19065526,"Cozy Studio near EU institutions, Brussels center!",11850369,Amr,,Etterbeek,50.82699,4.39848,Entire home/apt,35,3,16,2019-03-31,0.77,1,344
19067937,Cosy penthouse in Brussels,19589416,Nathalie,,Etterbeek,50.82679,4.38833,Entire home/apt,139,6,13,2019-01-02,0.66,1,146
19081383,CHez Bruno y Lucy,131966085,Lucia,,Bruxelles,50.86903,4.35982,Entire home/apt,40,1,140,2019-03-28,6.36,2,319
19094487,New-York style Loft in central Brussels,9144221,Karin,,Schaerbeek,50.86955,4.36794,Entire home/apt,80,4,10,2019-01-02,0.57,1,0
19095306,Appartement lumineux  et confortable à St-Gilles,9719300,Valentine,,Saint-Gilles,50.82556,4.33894,Entire home/apt,115,2,0,,,1,0
