id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7738154,Zonnig appartement met loftgevoel,5444450,Wen,,Centraal Station,51.21279,4.42732,Entire home/apt,59,2,109,2019-04-14,4.00,1,81
7751333,Studio w/ terrace in City Centre,30328372,Raul,,Theaterbuurt-Meir,51.21792,4.41423,Private room,75,2,4,2017-03-29,0.10,1,0
7759657,Modern flat,40801441,Jonas,,Historisch Centrum,51.22374,4.40567,Entire home/apt,69,3,87,2019-04-01,1.94,1,336
7814882,Licht duplex appartement,19889207,Alexander,,Historisch Centrum,51.22455,4.40301,Entire home/apt,75,1,256,2019-04-03,5.73,4,131
7819865,White Cube with Panorama View,12990235,Simon,,Sint-Andries,51.21626,4.39674,Entire home/apt,75,1,39,2019-03-31,0.89,1,3
7845537,Private bedroom - 1 person,41342418,Davinia,,Borgerhout Intra Muros Zuid,51.21382,4.44242,Private room,29,1,7,2016-06-20,0.18,2,0
7892353,spacious apartment @trendy Zuid,29142151,Suzy,,Zuid,51.21109,4.38933,Entire home/apt,120,2,40,2019-03-03,0.91,3,287
7909292,oldest house of Antwerp for groups,19290998,Jo,,Historisch Centrum,51.2238,4.40239,Entire home/apt,275,2,111,2019-04-14,2.69,1,205
7934136,woonhuis vlak bij Antwerpen,39097890,Steven,,Oud - Berchem,51.19431,4.41833,Entire home/apt,80,1,12,2018-10-07,0.30,1,211
7965720,Charming 3-room with private sauna,3702238,Annemie,,Universiteitsbuurt,51.22071,4.40584,Private room,60,1,7,2016-07-17,0.16,2,0
7977950,"Cosy, comfortable and clean studio",15310569,Bart,,Brederode,51.20128,4.39721,Private room,38,2,26,2018-12-18,0.61,1,182
8024200,Trendy studio in shopping area,40374339,Elsie,,Theaterbuurt-Meir,51.21212,4.4079,Entire home/apt,75,2,24,2019-01-02,0.60,1,296
8033857,Studio,39896269,Michail,,Stadspark,51.21548,4.41439,Entire home/apt,45,2,5,2015-09-26,0.11,1,0
8048327,private room in bright house,21223991,Ellen,,Harmonie,51.20659,4.40625,Private room,30,14,1,2015-09-11,0.02,1,0
